id,order_id,user_id,action_type,old_value,new_value,description,changes,created_at,updated_at
71,6,1,updated,,,订单更新: destination_address,"{""destination_address"":{""old"":null,""new"":""29 Forest ave, Portland, Maine 04101""}}",2025-10-25 13:57:53.520979+00,2025-10-25 13:57:53.520979+00
72,6,1,updated,,,"订单更新: destination_city, destination_state, destination_zipcode","{""destination_city"":{""old"":null,""new"":""Portland""},""destination_state"":{""old"":null,""new"":""ME""},""destination_zipcode"":{""old"":null,""new"":""04101""}}",2025-10-25 13:57:54.452747+00,2025-10-25 13:57:54.452747+00
73,6,1,updated,,,订单更新: origin_address,"{""origin_address"":{""old"":""45 Patrick Ave, UNIT B Edison, NJ 08837"",""new"":""191 south keim st, 1c-1, Pottstown, pa 19464""}}",2025-10-25 13:58:21.795993+00,2025-10-25 13:58:21.795993+00
74,6,1,updated,,,"订单更新: transport_distance, origin_city, origin_state, origin_zipcode","{""transport_distance"":{""old"":null,""new"":431},""origin_city"":{""old"":null,""new"":""Pottstown""},""origin_state"":{""old"":null,""new"":""PA""},""origin_zipcode"":{""old"":null,""new"":""19464""}}",2025-10-25 13:58:22.864044+00,2025-10-25 13:58:22.864044+00
75,6,1,updated,,,"订单更新: weight_list, total_weight_lbs","{""weight_list"":{""old"":null,""new"":""[2728,2161,2639,3153,1054,2243,878,300]""},""total_weight_lbs"":{""old"":null,""new"":15156}}",2025-10-25 14:00:01.478306+00,2025-10-25 14:00:01.478306+00
76,6,1,updated,,,"订单更新: dimensions_list, total_volume, actual_pallets","{""dimensions_list"":{""old"":null,""new"":""[{\""length\"":44,\""width\"":21,\""height\"":34,\""pieces\"":1,\""volume\"":18.180555555555557,\""original\"":\""44*21*34 1p\""},{\""length\"":36,\""width\"":21,\""height\"":31,\""pieces\"":1,\""volume\"":13.5625,\""original\"":\""36*21*31 1p\""},{\""length\"":36,\""width\"":21,\""height\"":33,\""pieces\"":1,\""volume\"":14.4375,\""original\"":\""36*21*33 1p\""},{\""length\"":36,\""width\"":21,\""height\"":36,\""pieces\"":1,\""volume\"":15.75,\""original\"":\""36*21*36 1p\""},{\""length\"":37,\""width\"":16,\""height\"":24,\""pieces\"":1,\""volume\"":8.222222222222221,\""original\"":\""37*16*24 1p\""},{\""length\"":40,\""width\"":19,\""height\"":30,\""pieces\"":1,\""volume\"":13.194444444444445,\""original\"":\""40*19*30 1p\""},{\""length\"":19,\""width\"":17,\""height\"":17,\""pieces\"":1,\""volume\"":3.177662037037037,\""original\"":\""19*17*17 1p\""},{\""length\"":26,\""width\"":10,\""height\"":13,\""pieces\"":1,\""volume\"":1.9560185185185186,\""original\"":\""26*10*13 1p\""}]""},""total_volume"":{""old"":null,""new"":88.48090277777777},""actual_pallets"":{""old"":null,""new"":8}}",2025-10-25 14:00:19.118374+00,2025-10-25 14:00:19.118374+00
77,6,1,updated,,,订单更新: cargo_value,"{""cargo_value"":{""old"":null,""new"":""300""}}",2025-10-25 14:00:33.451152+00,2025-10-25 14:00:33.451152+00
78,6,1,updated,,,"订单更新: total_area_pallets, quote_reference, quote_ref_10, quote_ref_20, quote_ref_30","{""total_area_pallets"":{""old"":null,""new"":""8""},""quote_reference"":{""old"":null,""new"":100},""quote_ref_10"":{""old"":null,""new"":110.00000000000001},""quote_ref_20"":{""old"":null,""new"":120},""quote_ref_30"":{""old"":null,""new"":130}}",2025-10-25 14:00:38.910804+00,2025-10-25 14:00:38.910804+00
79,6,1,updated,,,"订单更新: total_dat, quote_reference, quote_ref_10, quote_ref_20, quote_ref_30","{""total_dat"":{""old"":null,""new"":""500""},""quote_reference"":{""old"":""100.00"",""new"":4100},""quote_ref_10"":{""old"":""110.00"",""new"":4510},""quote_ref_20"":{""old"":""120.00"",""new"":4920},""quote_ref_30"":{""old"":""130.00"",""new"":5330}}",2025-10-25 14:00:43.805652+00,2025-10-25 14:00:43.805652+00
80,6,1,updated,,,订单更新: ideal_quote,"{""ideal_quote"":{""old"":null,""new"":""200""}}",2025-10-25 14:01:08.240832+00,2025-10-25 14:01:08.240832+00
